 l	b	Vlsr	...
  8.00   -0.50   128.00     72.70  10.10     4.435  ktan   srby87  -100000 -100000  -100000    -100000 -100000  -100000    -100000  -100000 -100000  
  8.20    0.20    20.00   1402.00  15.90    85.522  kfar   srby87  13.4    5.2    60.74  12.7    4.9    54.56   13.4   5.2   60.74 
  8.30   -0.10    48.00     50.20  13.20     3.062  kfar   srby87  11.5    3.3     2.32  10.9    3.2     2.09   11.6   3.4    2.36 
  8.30   -0.30    16.00     28.10   3.20     1.714  knear  srby87   2.9    5.6     1.41   2.7    5.3     1.22    2.8   5.8    1.31 
  8.40   -0.30    37.00    233.00   5.70    14.213  knear  srby87   4.7    3.9     9.66   4.4    3.7     8.47    4.4   4.1    8.47 
  8.50   -1.00    16.00    106.00   3.20     6.466  knear  srby87   2.9    5.7     5.31   2.7    5.4     4.60    2.7   5.8    4.60 
  8.70    0.60    22.00      8.60   4.00     0.525  knear  srby87   3.5    5.1     0.40   3.2    4.8     0.34    3.3   5.3    0.36 
  9.30    0.70    15.00      2.00   2.80     0.122  knear  srby87   2.6    6.0     0.11   2.4    5.6     0.09    2.4   6.1    0.09 
  9.30    0.00    31.00     15.60   4.80     0.952  knear  srby87   4.1    4.5     0.69   3.8    4.3     0.60    3.9   4.7    0.63 
  9.60    0.80    26.00     53.90   4.20     3.288  knear  srby87   3.6    4.9     2.42   3.4    4.7     2.15    3.4   5.1    2.15 
  9.80   -0.75    28.00     18.30   4.40     1.116  knear  srby87   3.8    4.8     0.83   3.5    4.6     0.71    3.6   5.0    0.75 
 10.00   -0.04    32.00     18.30   4.70     1.116  knear  srby87   4.0    4.6     0.81   3.7    4.4     0.69    3.8   4.8    0.73 
 10.80   -0.80    29.00     38.00   4.20     2.318  knear  srby87   3.7    5.0     1.80   3.4    4.7     1.52    3.5   5.1    1.61 
 11.10   -0.50    34.00    578.00   4.80    35.258  kfar   srby87  12.7    4.7   246.82  12.0    4.4   220.36   12.8   4.7  250.72 
 11.40   -0.30    49.00     17.90   6.10     1.092  knear  srby87   4.8    3.9     0.68   4.4    3.8     0.57    4.5   4.2    0.59 
 11.60   -0.40    32.00     16.70   4.30     1.019  knear  srby87   3.7    4.9     0.75   3.5    4.6     0.68    3.5   5.1    0.68 
 11.70   -0.30    47.00     12.30   5.60     0.750  knear  srby87   4.6    4.1     0.51   4.3    3.9     0.44    4.3   4.3    0.44 
 11.90    0.80    26.00     22.40   3.60     1.366  knear  srby87   3.2    5.4     1.08   3.0    5.1     0.95    3.0   5.6    0.95 
 11.90   -0.10    42.00     84.60  14.40     5.161  kfar   srby87  12.3    4.4     3.77  11.6    4.2     3.35   12.4   4.4    3.83 
 12.00   -0.60    35.00     29.50   4.50     1.799  knear  srby87   3.9    4.8     1.35   3.6    4.5     1.15    3.7   5.0    1.22 
 12.20   -0.10    23.00     83.00  16.30     5.063  kfar   srby87  13.7    5.7     3.58  12.9    5.4     3.17   13.6   5.6    3.52 
 12.40   -0.70    25.00      3.20   3.40     0.195  knear  srby87   3.1    5.5     0.16   2.9    5.2     0.14    2.9   5.7    0.14 
 12.70    0.70    18.00     28.10   2.50     1.714  knear  srby87   2.4    6.2     1.58   2.2    5.8     1.33    2.3   6.3    1.45 
 12.70   -0.10    56.00     45.70  13.60     2.788  kfar   srby87  11.7    3.9     2.06  11.1    3.7     1.86   11.8   4.0    2.10 
 12.80   -0.20    32.00    278.00   4.10    16.958  knear  srby87   3.5    5.1    12.36   3.3    4.8    10.99    3.3   5.3   10.99 
 12.90    0.50    35.00     10.50   4.30     0.640  knear  srby87   3.7    4.9     0.47   3.5    4.7     0.42    3.5   5.1    0.42 
 13.00    0.40    32.00     35.30   4.00     2.153  knear  srby87   3.5    5.1     1.65   3.3    4.9     1.47    3.3   5.3    1.47 
 13.00   -0.10    47.00    140.00   5.30     8.540  knear  srby87   4.4    4.3     5.89   4.1    4.1     5.11    4.2   4.5    5.36 
 13.70   -0.10    48.00     31.60   5.20     1.928  knear  srby87   4.4    4.4     1.38   4.1    4.2     1.20    4.1   4.6    1.20 
 13.90    0.90    27.00     13.20   3.30     0.805  knear  srby87   3.0    5.6     0.67   2.8    5.3     0.58    2.9   5.8    0.62 
 13.90    0.30    49.00     47.20   5.20     2.879  knear  srby87   4.4    4.4     2.06   4.1    4.2     1.79    4.1   4.6    1.79 
 14.00   -0.10    26.00      7.60   3.20     0.464  knear  srby87   2.9    5.7     0.38   2.7    5.4     0.33    2.8   5.8    0.36 
 14.00   -0.60    18.00    195.00   2.40    11.895  knear  srby87   2.2    6.4    10.00   2.1    6.0     9.11    2.2   6.4   10.00 
 14.20   -0.20    39.00    297.00   4.40    18.117  knear  srby87   3.8    4.9    13.51   3.5    4.6    11.46    3.6   5.1   12.13 
 14.60   -0.60    37.00     17.90   4.20     1.092  knear  srby87   3.6    5.1     0.80   3.4    4.8     0.72    3.4   5.2    0.72 
 15.00   -0.70    20.00     25.10   2.50     1.531  knear  srby87   2.3    6.3     1.30   2.2    5.9     1.19    2.2   6.4    1.19 
 15.00    0.00    25.00      3.50   3.00     0.213  knear  srby87   2.7    5.9     0.17   2.6    5.6     0.16    2.6   6.0    0.16 
 15.10    0.90    43.00      4.80   4.60     0.293  knear  srby87   3.9    4.8     0.21   3.7    4.6     0.19    3.7   5.0    0.19 
 15.30    0.00    32.00     18.10   3.60     1.104  knear  srby87   3.2    5.5     0.87   3.0    5.2     0.77    3.1   5.6    0.82 
 15.70   -0.20    57.00     13.20   5.40     0.805  knear  srby87   4.6    4.3     0.58   4.2    4.1     0.49    4.3   4.5    0.51 
 15.80   -0.60    48.00     18.30   4.80     1.116  knear  srby87   4.1    4.7     0.81   3.8    4.4     0.70    3.9   4.9    0.74 
 15.90   -0.60    19.00     16.00   2.20     0.976  knear  srby87   2.1    6.5     0.89   2.0    6.1     0.81    2.1   6.5    0.89 
 15.90    0.30    19.00      4.20   2.20     0.256  knear  srby87   2.1    6.5     0.23   2.0    6.1     0.21    2.1   6.5    0.23 
 15.90   -1.00    58.00      7.30   5.50     0.445  knear  srby87   4.6    4.3     0.31   4.3    4.1     0.27    4.3   4.5    0.27 
 16.20   -0.80    56.00      3.20   5.30     0.195  knear  srby87   4.5    4.4     0.14   4.1    4.2     0.12    4.2   4.6    0.12 
 16.25   -0.05    48.00    143.00  14.50     8.723  kfar   srby87  12.3    4.7     6.28  11.6    4.5     5.58   12.3   4.8    6.28 
 16.30    0.40    28.00     16.10   3.10     0.982  knear  srby87   2.8    5.8     0.80   2.7    5.5     0.74    2.7   6.0    0.74 
 16.50    0.40    38.00     53.60   3.90     3.270  knear  srby87   3.5    5.3     2.63   3.2    5.0     2.20    3.3   5.4    2.34 
 16.65   -0.05    59.00     49.80   5.40     3.038  knear  srby87   4.6    4.3     2.20   4.2    4.1     1.84    4.3   4.6    1.93 
 16.70   -0.45    43.00     66.00   4.30     4.026  knear  srby87   3.7    5.0     2.98   3.5    4.8     2.67    3.5   5.2    2.67 
 16.80    0.40    22.00  -100000      2.00     6.166  stel   dect86  -100000 -100000     6.17  -100000 -100000     6.17  -100000  -100000   6.17 
 16.80    0.10    30.00    284.00  15.90    17.324  kfar   srby87  13.4    5.8    12.30  12.6    5.4    10.88   13.3   5.7   12.12 
 16.90    0.30    24.00     97.30   2.60     5.935  knear  srby87   2.5    6.2     5.49   2.3    5.8     4.64    2.4   6.3    5.06 
 17.20   -0.20    43.00    910.00  14.90    55.510  kfar   srby87  12.5    5.1    39.07  11.8    4.8    34.81   12.6   5.1   39.70 
 17.30   -0.90    46.00      5.30   4.40     0.323  knear  srby87   3.8    5.0     0.24   3.6    4.7     0.22    3.6   5.1    0.22 
 17.70    0.30    22.00      9.90   2.40     0.604  knear  srby87   2.2    6.4     0.51   2.1    6.0     0.46    2.2   6.5    0.51 
 17.70    0.10    41.00     51.00  15.10     3.111  kfar   srby87  12.7    5.2     2.20  11.9    5.0     1.93   12.7   5.2    2.20 
 18.15   -0.30    54.00    245.00   4.90    14.945  knear  srby87   4.2    4.7    10.98   3.9    4.5     9.47    3.9   4.9    9.47 
 18.65    0.30    21.00     63.50  16.80     3.873  kfar   srby87  14.0    6.6     2.69  13.2    6.2     2.39   13.9   6.4    2.65 
 18.85    0.05    50.00    330.00  14.40    20.130  kfar   srby87  12.2    5.0    14.45  11.5    4.7    12.84   12.2   5.0   14.45 
 18.85   -0.50    66.00    576.00   5.60    35.136  knear  srby87   4.7    4.4    24.75   4.3    4.2    20.72    4.4   4.6   21.69 
 19.20   -0.30    33.00    272.00  15.70    16.592  kfar   srby87  13.2    5.8    11.73  12.4    5.5    10.35   13.1   5.8   11.55 
 19.25    0.05    26.00      7.70   2.60     0.470  knear  srby87   2.4    6.3     0.40   2.3    5.9     0.37    2.3   6.3    0.37 
 19.50    0.00    26.00  -100000      2.20     0.891  stel   dect86  -100000 -100000     0.89  -100000 -100000     0.89  -100000  -100000   0.89 
 19.60   -0.05    58.00     13.70   4.90     0.836  knear  srby87   4.2    4.7     0.61   3.9    4.5     0.53    4.0   4.9    0.56 
 19.65   -0.65    55.00     14.60   4.80     0.891  knear  srby87   4.1    4.8     0.65   3.8    4.6     0.56    3.9   5.0    0.59 
 19.70    0.10    26.00    218.00  16.30    13.298  kfar   srby87  13.6    6.3     9.26  12.8    5.9     8.20   13.5   6.2    9.12 
 19.80   -0.45    69.00    153.00   5.60     9.333  knear  srby87   4.7    4.4     6.57   4.4    4.2     5.76    4.4   4.6    5.76 
 19.90   -0.55    44.00    111.00   4.00     6.771  knear  srby87   3.5    5.3     5.18   3.3    5.0     4.61    3.3   5.5    4.61 
 20.55   -0.45    67.00    108.00  13.30     6.588  kfar   srby87  11.3    4.5     4.76  10.7    4.3     4.26   11.4   4.6    4.84 
 20.70   -0.30    63.00     72.70  13.60     4.435  kfar   srby87  11.5    4.7     3.17  10.9    4.4     2.85   11.6   4.7    3.23 
 20.75   -0.10    59.00    168.00  13.80    10.248  kfar   srby87  11.7    4.8     7.37  11.0    4.6     6.51   11.8   4.8    7.49 
 20.75    0.10    77.00     31.60   6.00     1.928  knear  srby87   5.0    4.2     1.34   4.6    4.0     1.13    4.7   4.5    1.18 
 20.85    0.00    30.00    262.00  15.90    15.982  kfar   srby87  13.3    6.2    11.18  12.5    5.8     9.88   13.2   6.1   11.02 
 20.90   -0.30    68.00     31.60   5.40     1.928  knear  srby87   4.6    4.5     1.40   4.3    4.3     1.22    4.3   4.7    1.22 
 21.35    0.35     8.00      3.00   0.80     0.183  knear  srby87   0.7    7.8     0.14   0.8    7.3     0.18    0.9   7.7    0.23 
 21.40   -0.65    55.00     87.50   4.60     5.337  knear  srby87   4.0    5.0     4.04   3.7    4.7     3.45    3.8   5.2    3.64 
 21.40    0.00    75.00    153.00  12.80     9.333  kfar   srby87  11.0    4.3     6.89  10.4    4.1     6.16   11.1   4.4    7.02 
 21.50    0.25    77.00      5.50   5.90     0.335  knear  srby87   5.0    4.3     0.24   4.6    4.1     0.20    4.6   4.5    0.20 
 21.75    0.00    67.00     46.20   5.30     2.818  knear  srby87   4.5    4.6     2.03   4.2    4.4     1.77    4.2   4.8    1.77 
 21.90   -0.35    82.00    409.00  12.40    24.949  kfar   srby87  10.6    4.2    18.23  10.1    4.0    16.55   10.8   4.3   18.93 
 22.05    0.20    50.00     70.90   4.20     4.325  knear  srby87   3.7    5.3     3.36   3.4    5.0     2.83    3.5   5.4    3.00 
 22.10   -0.20    53.00  -100000      4.40    11.482  knear  dect86   3.8    5.2     8.56   3.6    4.9     7.69    3.6   5.3    7.69 
 22.35    0.10    85.00     71.70  12.20     4.374  kfar   srby87  10.5    4.2     3.24  10.0    4.0     2.94   10.6   4.3    3.30 
 22.40    0.30    84.00     53.00  12.20     3.233  kfar   srby87  10.5    4.2     2.39  10.0    4.0     2.17   10.7   4.3    2.49 
 22.55   -0.05   115.00     23.20   8.50     1.415  ktan   srby87  -100000 -100000  -100000    -100000 -100000  -100000    -100000  -100000 -100000  
 22.55   -0.20    77.00     64.80  12.60     3.953  kfar   srby87  10.8    4.4     2.90  10.2    4.2     2.59   10.9   4.5    2.96 
 22.75   -0.25   109.00     40.30   9.20     2.458  ktan   srby87  -100000 -100000  -100000    -100000 -100000  -100000    -100000  -100000 -100000  
 22.80    0.40    92.00     90.50  11.70     5.520  kfar   srby87  10.2    4.0     4.20   9.7    3.9     3.79   10.4   4.1    4.36 
 22.85    0.40   114.00      8.10   8.40     0.494  ktan   srby87  -100000 -100000  -100000    -100000 -100000  -100000    -100000  -100000 -100000  
 23.00   -0.10    78.00  -100000      5.90    11.220  knear  dect86   4.9    4.4     7.74   4.6    4.2     6.82    4.6   4.6    6.82 
