Id 	$\ell$ 	b   ${V}_{{\rm h}}$ err $V_{\rm LSR}$ Notes
1 	120.8 	-4.8 	-69 	6 	-70.2 	V382 Cas
2 	122.3 	-3.2 	-36 	10 	-37.3 	CGCS 111
3 	126.6 	-4.5 	-62 	5 	-64.3 	V645 Cas
4 	127.5 	-4.9 	-52 	2 	-54.5 	     
5 	128.6 	-4.7 	-72 	8 	-74.7 	     
6 	129.6 	-4.3 	-100 	2 	-102.9 	     
7 	129.7 	-3.5 	-36 	10 	-38.8 	V918 Cas
8 	130.9 	-4.5 	-35 	10 	-38.1 	CGCS 282
9 	131.2 	-4.9 	-82 	2 	-85.2 	EW Per
10 	133.1 	-4.5 	-38 	4 	-41.6 	CN Per
11 	133.2 	-3.1 	- 	- 	- 	not observed
12 	135.1 	-4.3 	-64 	10 	-67.9 	     
13 	136.3 	-4.1 	-35 	5 	-39.1 	     
14 	133.6 	-3.7 	-25 	3 	-28.6 	LR Per
15 	137.1 	-3.8 	-38 	8 	-42.2 	DY Per
16 	137.4 	-3.5 	-35 	4 	-39.2 	CGCS 381
17 	160.5 	-4.6 	-38 	10 	-46.2 	CGCS 702
18 	160.8 	-4.6 	-58 	7 	-66.3 	CGCS 708
19 	162.2 	-4.6 	-14 	4 	-22.5 	CGCS 726
20 	161.9 	-3.4 	+51 	8 	42.7 	AV Per
21 	162.1 	-3.3 	-06 	7 	-14.3 	V395 Per
22 	171.6 	-3.4 	+49 	9 	39.5 	DS Aur
23 	161.8 	+4.0 	+34 	12 	26.7 	CGCS 873
24 	176.9 	-3.9 	0 	2 	-10.2 	CGCS 916
25 	168.9 	+4.0 	-1 	11 	-9.3 	CGCS 975
26 	169.2 	+4.1 	-16 	9 	-24.3 	CGCS 985
27 	190.6 	-4.9 	+45 	9 	33.6 	CGCS 1084
28 	193.3 	-4.9 	+70 	11 	58.5 	     
29 	192.0 	-4.1 	+33 	12 	21.6 	     
30 	179.1 	+3.1 	+14 	2 	4.5 	CGCS 1107
31 	178.3 	+3.9 	-12 	14 	-21.3 	V508 Aur
32 	180.1 	+3.8 	+35 	9 	25.5 	CGCS 1130
33 	181.3 	+3.3 	+33 	2 	23.3 	BQ Aur
34 	181.3 	+3.6 	+40 	13 	30.4 	     
35 	197.1 	-4.4 	+59 	9 	47.4 	IRAS06032+1157
36 	199.9 	-4.6 	+51 	9 	39.3 	CGCS 6115
37 	200.1 	-4.6 	+53 	13 	41.3 	CGCS 6117
