#ID  l            b          Dist(kpc)   DeltaDist   VR(km/s)  DeltaVR
S202  139.99  2.09  0.8  0.3  -11.5  2.0
S206  150.68  -0.77 3.3  0.8  -22.6  0.5
S208  151.27  1.97  7.6  0.8  -30.2  0.4
S209  151.61  -0.24  8.2  2.4  -52.2  2.4
S211  154.65  2.46  5.9  1.8  -37.6  0.9
S212  155.39  2.65  6.0  0.6  -35.3  0.3
S217  159.15  3.27  5.2  0.8  -20.5  1.1
S219  159.36  2.57  4.2  0.6  -24.5  1.2
S220  160.31  -12.34  0.4  0.04  7.0  3.0
S228  169.19  0.90  3.5  1.1  -8.7  2.5
S231  173.47  2.55  2.3  0.7  -18.1  0.9
S232  173.43  3.17  1.0  0.3  -23.0  0.5
S234  173.48  -0.05  2.3  0.7  -13.4  0.7
S236  173.60  -1.78  3.2  0.3  -7.2  0.5
S237  173.97  0.25  1.8  0.3  -4.3  0.7
S238  176.24  -20.88  0.15  0.05 8.1  0.9
S241  180.79  4.03  4.7  1.2  -6.5  1.0
S242  182.36  0.19  2.1  0.7  0.0  0.5
S247  188.96  0.85  3.5  0.9  2.9  1.2
S249  189.45  4.38  1.6  0.5  -5.3  2.6
S252  189.81  0.33  1.5  0.15 7.5  1.0
S253  192.23  3.59  4.4  0.4  14.4  0.5
S254  192.61  -0.04  2.5  0.4  7.5  0.7
S259  192.91  -0.63  8.3  2.6  22.8  0.5
S263  194.59  -15.74  0.45  0.14  0.3  1.0
S264  196.92  -10.37  0.4  0.13  12.0  0.5 
S269  196.45  -1.68  3.8  1.0  17.5  0.7
S271  197.80  -2.33  4.8  0.5  20.5  0.5
S273  203.24  2.09  0.8  0.15  7.0  1.0
S275  207.02  -1.82  1.6  0.2  14.3  0.1
S281 208.99  -19.39  0.5  0.05  8.0  1.5
S283  210.81  -2.56  9.1  2.9  49.4  2.8
S284  211.86  -1.18  5.2  0.8  45.0  0.7
S285  213.81  0.61  6.9  0.7  45.3  1.1
S287  218.15  -0.35  3.2  0.8  27.2  0.8
S288  218.77  1.95  3.0  1.2  56.7  0.8
S292  224.10  -1.96  1.15  0.14  18.4  1.0
S294  224.19  1.22  4.6  1.5  32.9  1.1
S299  230.97  1.49  4.4  0.6  47.6  0.4
S301  231.52  -4.33  5.8  0.9  53.0  0.4
S302  232.63  1.01  2.2  0.7  16.6  0.3
S305  233.77  -0.15  5.2  1.4  44.1  0.6
S307  234.57  0.83  2.2  0.5  46.3  0.7
S309  234.64  -0.21  5.5  0.8  44.0  1.7
S310  239.65  -4.94  1.5  0.5  22.3  1.0
S311  243.20  0.44  4.1  0.6  51.0  1.6
BFS54  211.27  -0.35  8.7  2.8  21.4  0.5
